profile,policy,metric,mean,std,ci_lo,ci_hi,n_seeds
congested,cloud_only,remote_accepted_per_frame,0.0,0.0,0.0,0.0,30
congested,cloud_only,remote_rejected_deadline_rate,0.9505666666666667,0.00714231360821974,0.9480000000000002,0.9531333333333332,30
congested,cloud_only,remote_rejected_freshness_rate,0.0,0.0,0.0,0.0,30
congested,cloud_only,remote_failed_loss_rate,0.049433333333333336,0.007142313608219744,0.046866666666666675,0.051999999999999984,30
congested,cloud_only,mode_switches_per_1000,0.0,0.0,0.0,0.0,30
congested,cloud_only,pct_local_fast,0.0,0.0,0.0,0.0,30
congested,cloud_only,pct_edge_accurate,100.0,0.0,100.0,100.0,30
congested,cloud_only,pct_hybrid,0.0,0.0,0.0,0.0,30
congested,cloud_only,pct_degraded_safe,0.0,0.0,0.0,0.0,30
congested,dapper,mean_latency_ms,24.831886454720813,0.19570763546815947,24.763119880413207,24.901603933536045,30
congested,dapper,p95_latency_ms,33.93663339562628,0.10384597263558462,33.89765936597646,33.97222933477223,30
congested,dapper,p99_latency_ms,34.76774120719711,0.0574407179719229,34.74632434028217,34.786921923619296,30
congested,dapper,deadline_miss_rate,0.0,0.0,0.0,0.0,30
congested,dapper,usable_confidence_proxy,0.724962592880273,0.001562881778886257,0.7244213882112449,0.7255313473425076,30
congested,dapper,mean_output_confidence,0.724962592880273,0.001562881778886257,0.7244213882112449,0.7255313473425076,30
congested,dapper,bandwidth_per_1000_frames_kb,2.5,7.628214415734117,0.0,5.833333333333333,30
congested,dapper,bandwidth_per_frame_kb,0.0025000000000000005,0.007628214415734117,0.0,0.005833333333333333,30
congested,dapper,fallback_rate,0.007433333333333334,0.0027628487713469464,0.0064666666666666674,0.008400000000000001,30
congested,dapper,reuse_rate,0.007433333333333334,0.0027628487713469464,0.0064666666666666674,0.008400000000000001,30
congested,dapper,stale_acceptance_rate,0.0,0.0,0.0,0.0,30
congested,dapper,remote_attempt_rate,0.0001,0.00030512857662936464,0.0,0.00023333333333333333,30
congested,dapper,remote_accept_rate,0.0,0.0,0.0,0.0,30
congested,dapper,remote_accepted_per_frame,0.0,0.0,0.0,0.0,30
congested,dapper,remote_rejected_deadline_rate,0.1,0.30512857662936466,0.0,0.23333333333333334,30
congested,dapper,remote_rejected_freshness_rate,0.0,0.0,0.0,0.0,30
congested,dapper,remote_failed_loss_rate,0.0,0.0,0.0,0.0,30
congested,dapper,mode_switches_per_1000,12.133333333333333,4.032055463949847,10.733333333333333,13.533333333333333,30
congested,dapper,pct_local_fast,99.24666666666667,0.28494806947731727,99.14666666666666,99.34666666666666,30
congested,dapper,pct_edge_accurate,0.0,0.0,0.0,0.0,30
congested,dapper,pct_hybrid,0.010000000000000002,0.030512857662936467,0.0,0.02333333333333333,30
congested,dapper,pct_degraded_safe,0.7433333333333334,0.2762848771346947,0.6466666666666667,0.8400000000000002,30
congested,deadline_greedy,mean_latency_ms,25.012597088142645,0.18113657767527264,24.94831415515531,25.07737720340451,30
