metric,policy_a,policy_b,profile,n_seeds,mean_diff,ci_lo,ci_hi,std,excludes_zero,a_mean,b_mean
mean_latency_ms,dapper,local_only,lossy,30,0.0,0.0,0.0,0.0,False,25.003209635014095,25.003209635014095
deadline_miss_rate,dapper,edge_only,lossy,30,-0.8750666666666667,-0.8793666666666665,-0.8705666666666666,0.012500850545775532,True,0.0,0.8750666666666667
p95_latency_ms,dapper,edge_only,lossy,30,-99.84356027215303,-99.8745605090371,-99.81097089827855,0.09016804315869013,True,34.012278154614826,133.85583842676783
usable_confidence_proxy,dapper,edge_only,lossy,30,0.6312621839928091,0.6279573008000279,0.634481095576223,0.009232654977017375,True,0.7405908249005024,0.10932864090769345
bandwidth_per_1000_frames_kb,dapper,edge_only,lossy,30,-6873.333333333333,-7025.0,-6719.166666666667,439.9222763118529,True,18126.666666666668,25000.0
mean_latency_ms,dapper,edge_only,lossy,30,-96.21288887607325,-96.35340513206344,-96.06483732876015,0.41002778002454227,True,25.003209635014095,121.21609851108734
deadline_miss_rate,dapper,cloud_only,lossy,30,-1.0,-1.0,-1.0,0.0,True,0.0,1.0
p95_latency_ms,dapper,cloud_only,lossy,30,-100.0,-100.0,-100.0,8.34490122535248e-15,True,34.012278154614826,134.01227815461485
usable_confidence_proxy,dapper,cloud_only,lossy,30,0.7405908249005024,0.7398371863884554,0.7413865873770361,0.0021791822011149593,True,0.7405908249005024,0.0
bandwidth_per_1000_frames_kb,dapper,cloud_only,lossy,30,-16873.333333333332,-17025.0,-16719.166666666668,439.9222763118529,True,18126.666666666668,35000.0
mean_latency_ms,dapper,cloud_only,lossy,30,-100.0,-100.0,-100.0,8.752206242255621e-15,True,25.003209635014095,125.0032096350141
deadline_miss_rate,dapper,deadline_greedy,lossy,30,0.0,0.0,0.0,0.0,False,0.0,0.0
p95_latency_ms,dapper,deadline_greedy,lossy,30,0.0,0.0,0.0,0.0,False,34.012278154614826,34.012278154614826
usable_confidence_proxy,dapper,deadline_greedy,lossy,30,0.015793998188488256,0.015148566689305457,0.016467538178803906,0.0018739904946878288,True,0.7405908249005024,0.7247968267120143
bandwidth_per_1000_frames_kb,dapper,deadline_greedy,lossy,30,18126.666666666668,17975.0,18280.833333333332,439.9222763118529,True,18126.666666666668,0.0
mean_latency_ms,dapper,deadline_greedy,lossy,30,0.0,0.0,0.0,0.0,False,25.003209635014095,25.003209635014095
deadline_miss_rate,dapper,confidence_deadline,lossy,30,0.0,0.0,0.0,0.0,False,0.0,0.0
p95_latency_ms,dapper,confidence_deadline,lossy,30,0.0,0.0,0.0,0.0,False,34.012278154614826,34.012278154614826
usable_confidence_proxy,dapper,confidence_deadline,lossy,30,0.015793998188488256,0.015148566689305457,0.016467538178803906,0.0018739904946878288,True,0.7405908249005024,0.7247968267120143
bandwidth_per_1000_frames_kb,dapper,confidence_deadline,lossy,30,18126.666666666668,17975.0,18280.833333333332,439.9222763118529,True,18126.666666666668,0.0
mean_latency_ms,dapper,confidence_deadline,lossy,30,0.0,0.0,0.0,0.0,False,25.003209635014095,25.003209635014095
deadline_miss_rate,dapper,rtt_threshold,lossy,30,0.0,0.0,0.0,0.0,False,0.0,0.0
p95_latency_ms,dapper,rtt_threshold,lossy,30,0.0,0.0,0.0,0.0,False,34.012278154614826,34.012278154614826
usable_confidence_proxy,dapper,rtt_threshold,lossy,30,0.015793998188488256,0.015148566689305457,0.016467538178803906,0.0018739904946878288,True,0.7405908249005024,0.7247968267120143
bandwidth_per_1000_frames_kb,dapper,rtt_threshold,lossy,30,18126.666666666668,17975.0,18280.833333333332,439.9222763118529,True,18126.666666666668,0.0
mean_latency_ms,dapper,rtt_threshold,lossy,30,0.0,0.0,0.0,0.0,False,25.003209635014095,25.003209635014095
deadline_miss_rate,dapper,oracle_feasible,lossy,30,0.0,0.0,0.0,0.0,False,0.0,0.0
p95_latency_ms,dapper,oracle_feasible,lossy,30,-62.314524602755085,-62.55859589494576,-62.063599772125905,0.6980455825110837,True,34.012278154614826,96.32680275736992
